Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
AKT2		ENSG00000105221	AKT serine/threonine kinase 2	19	40230317-40285536	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB004204, HPA064521	Uncertain		Supported	Nucleus<br>Vesicles<br>Cytosol	Endometrial cancer:1.05e-6 (unfavourable), Prostate cancer:4.74e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 170.1	Expressed in all		
ALDH2		ENSG00000111275	Aldehyde dehydrogenase 2 family (mitochondrial)	12	111766887-111817529	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA051065	Approved				Liver cancer:3.95e-7 (favourable), Renal cancer:5.24e-6 (favourable), Endometrial cancer:2.63e-4 (favourable), Urothelial cancer:7.71e-4 (unfavourable)	Expressed in all	Expressed in all			liver: 441.5	Cell line enhanced		HHSteC: 81.5;SK-BR-3: 150.4
ALK	CD246	ENSG00000171094	Anaplastic lymphoma receptor tyrosine kinase	2	29192774-29921566	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA010694	Approved		Supported	Plasma membrane		Group enriched	Tissue enhanced		cerebral cortex: 2.7;testis: 2.0	adrenal gland: 0.5	Cell line enriched	6	SH-SY5Y: 28.3
AMER1	FAM123B, FLJ39827, RP11-403E24.2, WTX	ENSG00000184675	APC membrane recruitment protein 1	X	64185117-64205744	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA065214, HPA065265	Approved		Supported	Nuclear bodies<br>Vesicles<br>Plasma membrane		Expressed in all	Mixed			ovary: 7.7	Mixed		
APC	DP2, DP2.5, DP3, PPP1R46	ENSG00000134982	APC, WNT signaling pathway regulator	5	112707498-112846239	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA013349	Supported					Expressed in all	Tissue enhanced		cerebral cortex: 60.1	parathyroid gland: 19.9	Expressed in all		
AR	AIS, DHTR, HUMARA, NR3C4, SBMA, SMAX1	ENSG00000169083	Androgen receptor	X	67544032-67730619	Cancer-related genes, Disease related genes, FDA approved drug targets, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB000001, HPA065701, CAB065764	Enhanced		Approved	Mitochondria	Renal cancer:1.03e-8 (favourable), Liver cancer:8.77e-4 (favourable)	Mixed	Mixed			fallopian tube: 42.3	Cell line enhanced		AF22: 15.6;HAP1: 21.1;LHCN-M2: 14.9;RH-30: 28.3
ARHGAP26	GRAF, KIAA0621, OPHN1L, OPHN1L1	ENSG00000145819	Rho GTPase activating protein 26	5	142770384-143229011	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA035106, HPA035107	Enhanced		Approved	Cytosol	Urothelial cancer:2.88e-6 (favourable), Endometrial cancer:5.93e-6 (favourable), Cervical cancer:1.36e-4 (favourable), Breast cancer:2.05e-4 (favourable), Colorectal cancer:6.95e-4 (favourable)	Expressed in all	Mixed			cerebral cortex: 30.8	Cell line enhanced		Karpas-707: 61.5
ARHGEF12	KIAA0382, LARG	ENSG00000196914	Rho guanine nucleotide exchange factor 12	11	120336914-120489936	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA018911, CAB025581	Approved		Approved	Nucleoplasm<br>Plasma membrane<br>Cytosol	Renal cancer:5.43e-6 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 145.8	Mixed		
ARID1A	B120, BAF250, BAF250a, C10rf4, C1orf4, P270, SMARCF1	ENSG00000117713	AT-rich interaction domain 1A	1	26693236-26782104	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA005456, CAB016334	Supported		Enhanced	Nucleoplasm	Liver cancer:4.18e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 40.4	Expressed in all		
ARID1B	6A3-5, BAF250b, DAN15, ELD/OSA1, KIAA1235, p250R	ENSG00000049618	AT-rich interaction domain 1B	6	156777374-157210779	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA016511, HPA075291	Approved		Supported	Nucleoplasm	Breast cancer:1.04e-4 (unfavourable), Ovarian cancer:4.16e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 71.2	Expressed in all		
ARID2	BAF200, DKFZp686G052, FLJ30619, KIAA1557	ENSG00000189079	AT-rich interaction domain 2	12	45729665-45908040	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA063044			Supported	Nucleoplasm<br>Plasma membrane	Head and neck cancer:5.75e-4 (favourable)	Expressed in all	Expressed in all			testis: 47.3	Expressed in all		
ARNT	bHLHe2, HIF-1beta	ENSG00000143437	Aryl hydrocarbon receptor nuclear translocator	1	150809705-150876768	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001759, CAB004318	Enhanced		Supported	Nucleus<br>Nuclear bodies		Expressed in all	Expressed in all			ovary: 46.7	Cell line enriched	7	U-698: 274.9
ASPSCR1	ASPL, ASPS, TUG, UBXD9, UBXN9	ENSG00000169696	ASPSCR1, UBX domain containing tether for SLC2A4	17	81976807-82017406	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA026749	Approved		Supported	Nucleoplasm<br>Vesicles<br>Plasma membrane	Renal cancer:1.26e-4 (unfavourable), Pancreatic cancer:2.67e-4 (favourable), Head and neck cancer:8.55e-4 (favourable)	Expressed in all	Expressed in all			testis: 21.3	Expressed in all		
ASXL1	KIAA0978	ENSG00000171456	Additional sex combs like 1, transcriptional regulator	20	32358344-32439319	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA064156			Approved	Nucleus<br>Nucleoli	Endometrial cancer:2.86e-4 (unfavourable), Head and neck cancer:9.16e-4 (favourable)	Expressed in all	Expressed in all			testis: 68.5	Expressed in all		
ATF1	TREB36	ENSG00000123268	Activating transcription factor 1	12	50763710-50821122	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB016222, HPA055069, HPA055406	Enhanced		Enhanced	Nucleoplasm	Liver cancer:1.53e-5 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 39.6	Expressed in all		
ATIC	AICARFT, IMPCHASE, PURH	ENSG00000138363	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	2	215311817-215349773	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB013462, HPA021012	Supported		Enhanced	Plasma membrane<br>Cytosol	Liver cancer:1.99e-7 (unfavourable), Renal cancer:8.77e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 44.8	Expressed in all		
ATM	ATA, ATC, ATD, ATDC, TEL1, TELO1	ENSG00000149311	ATM serine/threonine kinase	11	108222484-108369102	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB000102, HPA067142	Supported		Supported	Nucleoplasm		Expressed in all	Expressed in all			lymph node: 40.8	Expressed in all		
ATP1A1		ENSG00000163399	ATPase Na+/K+ transporting subunit alpha 1	1	116372668-116410261	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB018702, CAB069993	Enhanced				Renal cancer:8.98e-8 (favourable), Liver cancer:1.42e-4 (unfavourable), Urothelial cancer:4.01e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 2487.1	Expressed in all		
ATP2B3	CFAP39, CLA2, PMCA3, SCAX1	ENSG00000067842	ATPase plasma membrane Ca2+ transporting 3	X	153517676-153582939	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA001583	Enhanced		Uncertain	Golgi apparatus<br>Plasma membrane		Not detected	Group enriched	8	adrenal gland: 12.1;cerebral cortex: 19.0	fallopian tube: 2.0	Cell line enhanced		SCLC-21H: 11.7;SH-SY5Y: 3.1;THP-1: 1.7;U-937: 1.9
ATR	FRP1, MEC1, SCKL, SCKL1	ENSG00000175054	ATR serine/threonine kinase	3	142449235-142578826	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA054320			Supported	Nucleoplasm<br>Golgi apparatus	Pancreatic cancer:1.23e-5 (unfavourable), Liver cancer:8.39e-5 (unfavourable)	Expressed in all	Mixed			parathyroid gland: 15.4	Expressed in all		
ATRX	JMS, MRX52, RAD54, XH2, XNP	ENSG00000085224	ATRX, chromatin remodeler	X	77504878-77786269	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001906, CAB009372, HPA064684, CAB068176	Supported		Supported	Nuclear bodies		Expressed in all	Expressed in all			parathyroid gland: 54.4	Expressed in all		
AXIN1	PPP1R49	ENSG00000103126	Axin 1	16	287440-352673	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB012987	Approved		Supported	Nucleoli<br>Vesicles	Liver cancer:3.38e-5 (unfavourable)	Expressed in all	Expressed in all			spleen: 15.5	Expressed in all		
AXIN2	DKFZp781B0869, MGC126582	ENSG00000168646	Axin 2	17	65528563-65561647	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB012283, CAB017783	Approved		Uncertain	Nucleus<br>Plasma membrane<br>Cytosol	Pancreatic cancer:6.58e-4 (favourable)	Expressed in all	Mixed			endometrium: 31.1	Cell line enhanced		AF22: 26.9;CACO-2: 43.2;Hep G2: 53.5
BAP1	hucep-6, KIAA0272, UCHL2	ENSG00000163930	BRCA1 associated protein 1	3	52401013-52410350	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB004322, HPA028814, HPA028815, HPA055560	Approved		Enhanced	Nucleoplasm<br>Cytosol	Renal cancer:3.29e-7 (favourable)	Expressed in all	Expressed in all			testis: 118.2	Expressed in all		
BCL10	c-E10, CARMEN, CIPER, CLAP, mE10	ENSG00000142867	B-cell CLL/lymphoma 10	1	85266248-85277090	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	CAB001944, HPA017925	Approved		Approved	Nucleoplasm	Liver cancer:7.21e-7 (unfavourable), Colorectal cancer:2.51e-4 (favourable)	Expressed in all	Expressed in all			gallbladder: 30.5	Expressed in all		
BCL11A	BCL11A-L, BCL11A-S, BCL11A-XL, CTIP1, EVI9, HBFQTL5, ZNF856	ENSG00000119866	B-cell CLL/lymphoma 11A	2	60451167-60553567	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB014891, HPA029003	Enhanced		Enhanced	Nucleoplasm<br>Nuclear bodies		Mixed	Tissue enhanced		skin: 41.0	tonsil: 30.6	Cell line enhanced		Daudi: 24.7;MOLT-4: 28.5;REH: 32.5;U-698: 43.2
BCL11B	CTIP-2, CTIP2, hRIT1-alpha, ZNF856B	ENSG00000127152	B-cell CLL/lymphoma 11B	14	99169287-99271524	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA049117	Enhanced	Supported	Approved	Nucleus<br>Nucleoli fibrillar center	Urothelial cancer:7.48e-4 (favourable)	Mixed	Tissue enhanced		lymph node: 12.2;skin: 18.7	tonsil: 7.4	Cell line enriched	6	MOLT-4: 41.1
BCL2	Bcl-2, PPP1R50	ENSG00000171791	BCL2, apoptosis regulator	18	63123346-63320128	Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB000003, HPA055295	Enhanced		Supported	Nucleoplasm<br>Nuclear membrane	Renal cancer:1.29e-8 (favourable), Cervical cancer:5.13e-5 (favourable), Thyroid cancer:2.47e-4 (unfavourable)	Expressed in all	Tissue enhanced		thyroid gland: 69.3	parathyroid gland: 35.3	Cell line enhanced		Karpas-707: 59.5;U-266/70: 217.8
BCL3	BCL4, D19S37	ENSG00000069399	B-cell CLL/lymphoma 3	19	44747705-44760044	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB002051, HPA047514	Approved		Supported	Nucleoplasm<br>Vesicles<br>Midbody	Renal cancer:3.13e-14 (unfavourable), Melanoma:3.74e-4 (favourable), Glioma:5.58e-4 (unfavourable), Breast cancer:9.67e-4 (favourable)	Expressed in all	Expressed in all			appendix: 30.1	Cell line enhanced		HDLM-2: 55.4;SiHa: 65.8
BCL6	BCL5, BCL6A, LAZ3, ZBTB27, ZNF51	ENSG00000113916	B-cell CLL/lymphoma 6	3	187721377-187745727	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB000307, HPA004899, HPA050645	Enhanced		Enhanced	Nucleoplasm<br>Golgi apparatus	Renal cancer:1.27e-9 (unfavourable)	Expressed in all	Expressed in all			adipose tissue: 113.5	Cell line enhanced		Daudi: 112.8;U-698: 150.4
BCL7A	BCL7	ENSG00000110987	BCL tumor suppressor 7A	12	122019422-122062044	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA019762	Approved		Approved	Nucleoplasm<br>Vesicles	Renal cancer:1.54e-6 (favourable), Liver cancer:2.04e-4 (unfavourable), Colorectal cancer:6.81e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 13.8	Cell line enhanced		Daudi: 37.3;U-698: 41.3
BCL9		ENSG00000116128	B-cell CLL/lymphoma 9	1	147541412-147626216	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA020274	Enhanced		Approved	Nucleoplasm<br>Nuclear bodies	Liver cancer:6.74e-4 (unfavourable)	Expressed in all	Mixed			fallopian tube: 26.5	Cell line enhanced		NTERA-2: 42.4
BCL9L	DLNB11	ENSG00000186174	B-cell CLL/lymphoma 9-like	11	118893875-118925608	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA049370, HPA053421	Uncertain		Enhanced	Nucleoplasm		Expressed in all	Expressed in all			placenta: 35.0	Mixed		
BCOR	FLJ20285, KIAA1575	ENSG00000183337	BCL6 corepressor	X	40049815-40177329	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA056308, HPA073591			Enhanced	Nucleus	Liver cancer:1.30e-5 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 34.0	Expressed in all		
BCORL1	CXorf10, FLJ11362	ENSG00000085185	BCL6 corepressor-like 1	X	129981107-130058083	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA031775, HPA031777, HPA068568	Uncertain		Approved	Nucleoplasm<br>Plasma membrane	Endometrial cancer:2.20e-5 (unfavourable), Renal cancer:5.00e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 18.3	Cell line enhanced		HAP1: 51.8
BCR	ALL, BCR1, CML, D22S11, D22S662, PHL	ENSG00000186716	BCR, RhoGEF and GTPase activating protein	22	23179704-23318037	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	CAB010421, CAB018545, HPA038337	Approved		Approved	Nucleoplasm<br>Cytosol	Renal cancer:9.15e-10 (favourable)	Expressed in all	Mixed			cerebral cortex: 47.0	Expressed in all		
BIRC3	API2, c-IAP2, cIAP2, hiap-1, MALT2, MIHC, RNF49	ENSG00000023445	Baculoviral IAP repeat containing 3	11	102317450-102339403	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA002317	Enhanced	Approved	Supported	Nucleoplasm<br>Cytosol	Renal cancer:6.66e-6 (unfavourable), Pancreatic cancer:3.03e-4 (unfavourable), Breast cancer:3.60e-4 (favourable), Colorectal cancer:9.35e-4 (favourable)	Expressed in all	Tissue enhanced		lymph node: 138.1	appendix: 117.5	Cell line enhanced		CAPAN-2: 106.1;Daudi: 77.5;HDLM-2: 96.2;hTERT-HME1: 79.1
BRAF	BRAF1	ENSG00000157764	B-Raf proto-oncogene, serine/threonine kinase	7	140719327-140924764	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA001328, CAB004552, HPA071048	Approved		Approved	Vesicles<br>Cytosol		Expressed in all	Expressed in all			testis: 41.8	Expressed in all		
BRCA1	BRCC1, FANCS, PPP1R53, RNF53	ENSG00000012048	BRCA1, DNA repair associated	17	43044295-43170245	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB001946, HPA034966, HPA057371	Enhanced					Expressed in all	Mixed			testis: 23.9	Expressed in all		
BRCA2	BRCC2, FACD, FAD, FAD1, FANCD, FANCD1, XRCC11	ENSG00000139618	BRCA2, DNA repair associated	13	32315474-32400266	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA026815	Uncertain		Approved	Nucleoplasm<br>Cytosol		Mixed	Tissue enhanced		testis: 5.2	bone marrow: 4.1	Mixed		
BRD3	KIAA0043, ORFX, RING3L	ENSG00000169925	Bromodomain containing 3	9	134030305-134068535	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA051830	Approved		Approved	Nuclear bodies	Renal cancer:2.71e-7 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 19.6	Expressed in all		
BRD4	CAP, HUNK1, HUNKI, MCAP	ENSG00000141867	Bromodomain containing 4	19	15235519-15332545	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA015055, HPA061646, CAB068177, CAB068178	Enhanced		Enhanced	Nucleoplasm		Expressed in all	Expressed in all			placenta: 41.9	Expressed in all		
BTG1	APRO2	ENSG00000133639	BTG anti-proliferation factor 1	12	92140278-92145897	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA005972			Approved	Nucleoplasm<br>Cytosol	Renal cancer:1.95e-7 (unfavourable), Breast cancer:4.36e-5 (favourable)	Expressed in all	Expressed in all			bone marrow: 261.0	Expressed in all		
BTK	AGMX1, ATK, IMD1, PSCTK1, XLA	ENSG00000010671	Bruton tyrosine kinase	X	101349447-101390796	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA001198, HPA002028, CAB016689	Enhanced		Supported	Vesicles		Expressed in all	Tissue enhanced		lymph node: 65.2;tonsil: 70.8	spleen: 52.7	Cell line enhanced		Daudi: 147.2;HEL: 256.7;HMC-1: 868.2
C15orf65	FLJ27352	ENSG00000261652	Chromosome 15 open reading frame 65	15	55408548-55418764	Cancer-related genes, Predicted intracellular proteins	Evidence at transcript level	HPA067189	Approved		Approved	Nucleus<br>Cytosol	Endometrial cancer:3.18e-7 (favourable)	Expressed in all	Mixed			testis: 16.9	Mixed		
CACNA1D	CACH3, CACN4, CACNL1A2, Cav1.3, CCHL1A2	ENSG00000157388	Calcium voltage-gated channel subunit alpha1 D	3	53328963-53813733	Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level	HPA020215	Uncertain		Approved	Nuclear membrane	Renal cancer:8.34e-8 (favourable)	Mixed	Mixed			fallopian tube: 13.5	Cell line enhanced		HMC-1: 19.6;RPMI-8226: 38.4;SK-BR-3: 7.4
CALR	cC1qR, CRT, FLJ26680, RO, SSA	ENSG00000179218	Calreticulin	19	12938578-12944489	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB001513, HPA002242, CAB019952	Enhanced				Renal cancer:1.11e-16 (unfavourable), Ovarian cancer:1.10e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 1652.0	Expressed in all		
CAMTA1	KIAA0833	ENSG00000171735	Calmodulin binding transcription activator 1	1	6785324-7769706	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA036342, HPA036343	Approved		Supported	Nucleoli<br>Cytosol	Ovarian cancer:4.10e-4 (favourable), Liver cancer:5.25e-4 (unfavourable)	Expressed in all	Expressed in all			epididymis: 99.9	Expressed in all		
CANT1	SCAN-1, SHAPY	ENSG00000171302	Calcium activated nucleotidase 1	17	78991717-79009867	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA019627, HPA019639, HPA022818	Enhanced				Liver cancer:1.41e-4 (unfavourable), Lung cancer:2.90e-4 (unfavourable), Renal cancer:6.21e-4 (unfavourable)	Expressed in all	Expressed in all			prostate: 115.7	Expressed in all		
