coordinates	refseqid	gene	circn	hallm	biom_desc	run_hal01_test1a	run_697_r_test1a	run_hal01_r_test1a	run_hal01_r_test1c	run_hal01_test1c	run_hal01_test1d	run_hal01_test1b	run_697_r_test1c	run_hal01_r_test1b	run_697_test1c	run_697_r_test1b	run_697_test1e	run_697_r_test1d	run_hal01_r_test1d	run_697_test1a	run_697_test1d	
chr10:103783233-103793096	NM_024541	C10orf76	hsa_circ_0002523	_DNA_REPAIR	NaN	0	5	3	3	0	0	0	5	3	0	5	0	5	3	0	0
chr10:103868785-103871293	NM_003893	LDB1	hsa_circ_0019664	_HEDGEHOG_SIGNALING	LIM_domain_binding_1_	0	4	0	0	0	0	0	4	0	0	4	0	4	0	0	0
chr10:103916775-103917971	NM_004741	NOLC1	hsa_circ_0000257	_G2M_CHECKPOINT	nucleolar_and_coiled-body_phosphoprotein_1_	0	20	14	14	0	0	0	20	14	0	20	0	20	14	0	0
chr10:104119940-104120152	NM_001199378	GBF1	hsa_circ_0003839	_PROTEIN_SECRETION	golgi_brefeldin_A_resistant_guanine_nucleotide_exchange_factor_1_	0	2	4	4	0	0	0	2	4	0	2	0	2	4	0	0
chr10:104122231-104123555	NM_001199378	GBF1	unknown	_PROTEIN_SECRETION	golgi_brefeldin_A_resistant_guanine_nucleotide_exchange_factor_1_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:104486368-104489565	NM_178858	SFXN2	unknown	_PROTEIN_SECRETION	sideroflexin_2_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:104491479-104493360	NM_178858	SFXN2	unknown	_PROTEIN_SECRETION	sideroflexin_2_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:104632204-104634418	NR_037644	BORCS7-ASMT	hsa_circ_0019773	_PROTEIN_SECRETION	BORCS7-ASMT_readthrough_(NMD_candidate)_	0	4	3	3	0	0	0	4	3	0	4	0	4	3	0	0
chr10:1046616-1053068	NM_012341	GTPBP4	hsa_circ_0017426	_PROTEIN_SECRETION	GTP_binding_protein_4_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:105108472-105108756	NM_001011663	PCGF6	hsa_circ_0019803	_PROTEIN_SECRETION	polycomb_group_ring_finger_6_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:105197771-105198565	NM_014976	PDCD11	hsa_circ_0000258	_PROTEIN_SECRETION	programmed_cell_death_11_	0	29	24	24	0	0	0	29	24	0	29	0	29	24	0	0
chr10:105199502-105200607	NM_014976	PDCD11	hsa_circ_0003366	_PROTEIN_SECRETION	programmed_cell_death_11_	0	9	6	6	0	0	0	9	6	3	9	3	9	6	3	3
chr10:105767934-105778666	NM_014720	SLK	hsa_circ_0000259	_PROTEIN_SECRETION	STE20_like_kinase_	6	2	0	0	6	6	6	2	0	2	2	2	2	0	2	2
chr10:1118055-1123943	NM_014023	WDR37	hsa_circ_0017437	_UV_RESPONSE_DN	WD_repeat_domain_37_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:1118055-1126416	NM_014023	WDR37	hsa_circ_0017438	_UV_RESPONSE_DN	WD_repeat_domain_37_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:1118055-1142186	NM_014023	WDR37	hsa_circ_0000205	_UV_RESPONSE_DN	WD_repeat_domain_37_	2	2	0	0	2	2	2	2	0	0	2	0	2	0	0	0
chr10:111883774-111890244	NM_019903	ADD3	hsa_circ_0003357	_MTORC1_SIGNALING	adducin_3_	2	9	14	14	2	2	2	9	14	0	9	0	9	14	0	0
chr10:11207448-11259470	NM_001025077	CELF2	unknown	_UV_RESPONSE_DN	CUGBP_Elav-like_family_member_2_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:112349362-112349749	NM_005445	SMC3	unknown	_E2F_TARGETS	structural_maintenance_of_chromosomes_3_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:112356155-112358048	NM_005445	SMC3	hsa_circ_0000260	_E2F_TARGETS	structural_maintenance_of_chromosomes_3_	11	24	24	24	11	11	11	24	24	5	24	5	24	24	5	5
chr10:1125950-1126416	NM_014023	WDR37	hsa_circ_0004277	_UV_RESPONSE_DN	WD_repeat_domain_37_	0	15	11	11	0	0	0	15	11	0	15	0	15	11	0	0
chr10:112700486-112712081	NM_007373	SHOC2	unknown	_UV_RESPONSE_DN	SHOC2,_leucine_rich_repeat_scaffold_protein_	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:112711365-112724819	NM_007373	SHOC2	unknown	_UV_RESPONSE_DN	SHOC2,_leucine_rich_repeat_scaffold_protein_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:112758602-112760303	NM_007373	SHOC2	unknown	_UV_RESPONSE_DN	SHOC2,_leucine_rich_repeat_scaffold_protein_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:11291115-11312787	NM_001025077	CELF2	unknown	_UV_RESPONSE_DN	CUGBP_Elav-like_family_member_2_	0	2	3	3	0	0	0	2	3	0	2	0	2	3	0	0
chr10:11291115-11330515	NM_001025077	CELF2	unknown	_UV_RESPONSE_DN	CUGBP_Elav-like_family_member_2_	0	4	2	2	0	0	0	4	2	0	4	0	4	2	0	0
chr10:1130342-1142186	NM_014023	WDR37	hsa_circ_0000206	_UV_RESPONSE_DN	WD_repeat_domain_37_	3	7	3	3	3	3	3	7	3	0	7	0	7	3	0	0
chr10:1130342-1151207	NM_014023	WDR37	hsa_circ_0007796	_UV_RESPONSE_DN	WD_repeat_domain_37_	0	5	5	5	0	0	0	5	5	0	5	0	5	5	0	0
chr10:11312628-11330515	NM_001025077	CELF2	hsa_circ_0017680	_UV_RESPONSE_DN	CUGBP_Elav-like_family_member_2_	2	2	0	0	2	2	2	2	0	0	2	0	2	0	0	0
chr10:1149538-1151207	NM_014023	WDR37	hsa_circ_0005792	_UV_RESPONSE_DN	WD_repeat_domain_37_	0	4	6	6	0	0	0	4	6	0	4	0	4	6	0	0
chr10:1149541-1151207	NM_014023	WDR37	hsa_circ_0017465	_UV_RESPONSE_DN	WD_repeat_domain_37_	0	3	2	2	0	0	0	3	2	0	3	0	3	2	0	0
chr10:11523768-11527910	NM_001080491	USP6NL	hsa_circ_0017683	_UV_RESPONSE_DN	USP6_N-terminal_like_	0	6	5	5	0	0	0	6	5	0	6	0	6	5	0	0
chr10:11523768-11569566	NM_001080491	USP6NL	unknown	_UV_RESPONSE_DN	USP6_N-terminal_like_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:11551593-11569566	NM_001080491	USP6NL	hsa_circ_0017688	_UV_RESPONSE_DN	USP6_N-terminal_like_	0	5	2	2	0	0	0	5	2	0	5	0	5	2	0	0
chr10:11567384-11569566	NM_001080491	USP6NL	hsa_circ_0017690	_UV_RESPONSE_DN	USP6_N-terminal_like_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:11639629-11643979	NM_014688	USP6NL	hsa_circ_0003978	_UV_RESPONSE_DN	USP6_N-terminal_like_	0	6	0	0	0	0	0	6	0	0	6	0	6	0	0	0
chr10:116702403-116710908	NM_139169	TRUB1	hsa_circ_0020089	_UV_RESPONSE_DN	TruB_pseudouridine_synthase_family_member_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:116710852-116734144	NM_139169	TRUB1	unknown	_UV_RESPONSE_DN	TruB_pseudouridine_synthase_family_member_1_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:116730126-116734144	NM_139169	TRUB1	hsa_circ_0020092	_UV_RESPONSE_DN	TruB_pseudouridine_synthase_family_member_1_	0	4	5	5	0	0	0	4	5	0	4	0	4	5	0	0
chr10:116879948-116889297	NM_001276282	ATRNL1	hsa_circ_0020093	_UV_RESPONSE_DN	attractin_like_1_	14	8	27	27	14	14	14	8	27	0	8	0	8	27	0	0
chr10:116879948-116931050	NM_001276282	ATRNL1	unknown	_UV_RESPONSE_DN	attractin_like_1_	11	6	19	19	11	11	11	6	19	0	6	0	6	19	0	0
chr10:116975454-117045907	NM_207303	ATRNL1	unknown	_UV_RESPONSE_DN	attractin_like_1_	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:11893995-11894214	NM_153256	PROSER2	unknown	_UV_RESPONSE_DN	proline_and_serine_rich_2_	0	6	5	5	0	0	0	6	5	0	6	0	6	5	0	0
chr10:119100490-119104960	NM_173791	PDZD8	hsa_circ_0009114	_UV_RESPONSE_DN	PDZ_domain_containing_8_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:11971863-11978711	NM_015542	UPF2	hsa_circ_0017701	_UV_RESPONSE_DN	UPF2,_regulator_of_nonsense_mediated_mRNA_decay_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:119768592-119774621	NM_014904	RAB11FIP2	unknown	_UV_RESPONSE_DN	RAB11_family_interacting_protein_2_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:11990367-11994248	NM_015542	UPF2	unknown	_UV_RESPONSE_DN	UPF2,_regulator_of_nonsense_mediated_mRNA_decay_	0	4	3	3	0	0	0	4	3	0	4	0	4	3	0	0
chr10:11997230-12006124	NM_015542	UPF2	hsa_circ_0017709	_UV_RESPONSE_DN	UPF2,_regulator_of_nonsense_mediated_mRNA_decay_	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:12009339-12056183	NM_015542	UPF2	hsa_circ_0017711	_UV_RESPONSE_DN	UPF2,_regulator_of_nonsense_mediated_mRNA_decay_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:12021055-12056183	NM_015542	UPF2	hsa_circ_0017713	_UV_RESPONSE_DN	UPF2,_regulator_of_nonsense_mediated_mRNA_decay_	0	6	2	2	0	0	0	6	2	0	6	0	6	2	0	0
chr10:12039670-12056183	NM_015542	UPF2	hsa_circ_0000213	_UV_RESPONSE_DN	UPF2,_regulator_of_nonsense_mediated_mRNA_decay_	2	14	16	16	2	2	2	14	16	0	14	0	14	16	0	0
chr10:120460817-120489922	NM_153810	CACUL1	hsa_circ_0002028	_UV_RESPONSE_DN	CDK2_associated_cullin_domain_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:120801505-120803654	NM_003750	EIF3A	unknown	_ALLOGRAFT_REJECTION	eukaryotic_translation_initiation_factor_3_subunit_A_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:120828957-120830597	NM_003750	EIF3A	hsa_circ_0020151	_ALLOGRAFT_REJECTION	eukaryotic_translation_initiation_factor_3_subunit_A_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:120832401-120833449	NM_003750	EIF3A	hsa_circ_0004350	_ALLOGRAFT_REJECTION	eukaryotic_translation_initiation_factor_3_subunit_A_	0	2	3	3	0	0	0	2	3	0	2	0	2	3	0	0
chr10:120920426-120920593	NM_213649	SFXN4	unknown	_ALLOGRAFT_REJECTION	sideroflexin_4_	0	2	6	6	0	0	0	2	6	0	2	0	2	6	0	0
chr10:12123470-12126750	NM_018706	DHTKD1	hsa_circ_0017724	_ALLOGRAFT_REJECTION	dehydrogenase_E1_and_transketolase_domain_containing_1_	0	3	6	6	0	0	0	3	6	0	3	0	3	6	0	0
chr10:12123470-12133683	NM_018706	DHTKD1	hsa_circ_0003074	_ALLOGRAFT_REJECTION	dehydrogenase_E1_and_transketolase_domain_containing_1_	0	10	5	5	0	0	0	10	5	0	10	0	10	5	0	0
chr10:12123470-12136270	NM_018706	DHTKD1	hsa_circ_0004630	_ALLOGRAFT_REJECTION	dehydrogenase_E1_and_transketolase_domain_containing_1_	0	7	12	12	0	0	0	7	12	0	7	0	7	12	0	0
chr10:12123470-12143180	NM_018706	DHTKD1	hsa_circ_0017728	_ALLOGRAFT_REJECTION	dehydrogenase_E1_and_transketolase_domain_containing_1_	2	5	5	5	2	2	2	5	5	0	5	0	5	5	0	0
chr10:12123470-12150014	NM_018706	DHTKD1	hsa_circ_0017730	_ALLOGRAFT_REJECTION	dehydrogenase_E1_and_transketolase_domain_containing_1_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:12123470-12155063	NM_018706	DHTKD1	hsa_circ_0017731	_ALLOGRAFT_REJECTION	dehydrogenase_E1_and_transketolase_domain_containing_1_	2	2	2	2	2	2	2	2	2	0	2	0	2	2	0	0
chr10:12123470-12162266	NM_018706	DHTKD1	hsa_circ_0007813	_ALLOGRAFT_REJECTION	dehydrogenase_E1_and_transketolase_domain_containing_1_	0	11	4	4	0	0	0	11	4	0	11	0	11	4	0	0
chr10:121285543-121286936	NM_002925	RGS10	unknown	_ALLOGRAFT_REJECTION	regulator_of_G_protein_signaling_10_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:12129533-12162266	NM_018706	DHTKD1	hsa_circ_0017735	_ALLOGRAFT_REJECTION	dehydrogenase_E1_and_transketolase_domain_containing_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:121335202-121340050	NM_001033925	TIAL1	hsa_circ_0004498	_APICAL_JUNCTION	TIA1_cytotoxic_granule_associated_RNA_binding_protein_like_1_	0	7	0	0	0	0	0	7	0	0	7	0	7	0	0	0
chr10:121338237-121347760	NM_001033925	TIAL1	hsa_circ_0020181	_APICAL_JUNCTION	TIA1_cytotoxic_granule_associated_RNA_binding_protein_like_1_	5	2	2	2	5	5	5	2	2	0	2	0	2	2	0	0
chr10:12136071-12162266	NM_018706	DHTKD1	hsa_circ_0008826	_APICAL_JUNCTION	dehydrogenase_E1_and_transketolase_domain_containing_1_	0	2	6	6	0	0	0	2	6	0	2	0	2	6	0	0
chr10:12148244-12150014	NM_018706	DHTKD1	hsa_circ_0004155	_APICAL_JUNCTION	dehydrogenase_E1_and_transketolase_domain_containing_1_	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:121556226-121571467	NM_014937	INPP5F	unknown	_ESTROGEN_RESPONSE_EARLY	inositol_polyphosphate-5-phosphatase_F_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:12159671-12162266	NM_018706	DHTKD1	unknown	_ESTROGEN_RESPONSE_EARLY	dehydrogenase_E1_and_transketolase_domain_containing_1_	0	7	5	5	0	0	0	7	5	0	7	0	7	5	0	0
chr10:121598046-121602107	NM_001256378	MCMBP	hsa_circ_0020190	_ESTROGEN_RESPONSE_EARLY	minichromosome_maintenance_complex_binding_protein_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:121602765-121609088	NM_001256378	MCMBP	unknown	_ESTROGEN_RESPONSE_EARLY	minichromosome_maintenance_complex_binding_protein_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:12160747-12160917	NM_018706	DHTKD1	unknown	_ESTROGEN_RESPONSE_EARLY	dehydrogenase_E1_and_transketolase_domain_containing_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:12160747-12162266	NM_018706	DHTKD1	hsa_circ_0000214	_ESTROGEN_RESPONSE_EARLY	dehydrogenase_E1_and_transketolase_domain_containing_1_	2	3	8	8	2	2	2	3	8	0	3	0	3	8	0	0
chr10:121662310-121663789	NM_007190	SEC23IP	hsa_circ_0020197	_ESTROGEN_RESPONSE_EARLY	SEC23_interacting_protein_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:122618154-122643400	NR_049879	MIR5694	unknown	_ESTROGEN_RESPONSE_EARLY	microRNA_5694_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:122650227-122662744	NR_049879	MIR5694	unknown	_ESTROGEN_RESPONSE_EARLY	microRNA_5694_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:123298105-123325218	NM_001144914	FGFR2	unknown	_ESTROGEN_RESPONSE_EARLY	fibroblast_growth_factor_receptor_2_	0	13	0	0	0	0	0	13	0	0	13	0	13	0	0	0
chr10:123310803-123325218	NM_001144914	FGFR2	unknown	_ESTROGEN_RESPONSE_EARLY	fibroblast_growth_factor_receptor_2_	0	4	0	0	0	0	0	4	0	0	4	0	4	0	0	0
chr10:123324015-123325218	NM_001144914	FGFR2	hsa_circ_0020238	_ESTROGEN_RESPONSE_EARLY	fibroblast_growth_factor_receptor_2_	0	12	0	0	0	0	0	12	0	3	12	3	12	0	3	3
chr10:123658355-123673408	NM_001001976	ATE1	hsa_circ_0020252	_ESTROGEN_RESPONSE_EARLY	arginyltransferase_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:123661905-123670666	NM_001001976	ATE1	unknown	_ESTROGEN_RESPONSE_EARLY	arginyltransferase_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:123673304-123683844	NM_001001976	ATE1	hsa_circ_0020254	_ESTROGEN_RESPONSE_EARLY	arginyltransferase_1_	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:123722752-123724900	NM_001167865	NSMCE4A	unknown	_ESTROGEN_RESPONSE_EARLY	NSE4_homolog_A,_SMC5-SMC6_complex_component_	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:12442014-12445368	NM_020397	CAMK1D	hsa_circ_0000215	_KRAS_SIGNALING_DN	calcium/calmodulin_dependent_protein_kinase_ID_	0	5	3	3	0	0	0	5	3	3	5	3	5	3	3	3
chr10:125771848-125806240	NM_015892	CHST15	hsa_circ_0020303	_KRAS_SIGNALING_DN	carbohydrate_sulfotransferase_15_	2	5	2	2	2	2	2	5	2	0	5	0	5	2	0	0
chr10:125798030-125805418	NM_015892	CHST15	unknown	_KRAS_SIGNALING_DN	carbohydrate_sulfotransferase_15_	0	3	3	3	0	0	0	3	3	0	3	0	3	3	0	0
chr10:125798030-125806240	NM_015892	CHST15	hsa_circ_0000264	_KRAS_SIGNALING_DN	carbohydrate_sulfotransferase_15_	20	20	47	47	20	20	20	20	47	3	20	3	20	47	3	3
chr10:126176990-126186697	NM_001167880	LHPP	hsa_circ_0003766	_GLYCOLYSIS	phospholysine_phosphohistidine_inorganic_pyrophosphate_phosphatase_	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:126370175-126370948	NM_014661	FAM53B	hsa_circ_0000267	_GLYCOLYSIS	family_with_sequence_similarity_53_member_B_	7	15	45	45	7	7	7	15	45	0	15	0	15	45	0	0
chr10:126370175-126384781	NM_014661	FAM53B	hsa_circ_0003570	_GLYCOLYSIS	family_with_sequence_similarity_53_member_B_	0	4	9	9	0	0	0	4	9	0	4	0	4	9	0	0
chr10:126370175-126395456	NM_014661	FAM53B	hsa_circ_0002282	_GLYCOLYSIS	family_with_sequence_similarity_53_member_B_	2	3	13	13	2	2	2	3	13	0	3	0	3	13	0	0
chr10:126395204-126395456	NM_014661	FAM53B	hsa_circ_0005734	_GLYCOLYSIS	family_with_sequence_similarity_53_member_B_	0	4	11	11	0	0	0	4	11	0	4	0	4	11	0	0
chr10:126628942-126655350	NM_017580	ZRANB1	unknown	_GLYCOLYSIS	zinc_finger_RANBP2-type_containing_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:126631025-126631876	NM_017580	ZRANB1	hsa_circ_0000268	_GLYCOLYSIS	zinc_finger_RANBP2-type_containing_1_	17	19	47	47	17	17	17	19	47	3	19	3	19	47	3	3
chr10:126776759-126799662	NM_001329	CTBP2	hsa_circ_0009087	_GLYCOLYSIS	C-terminal_binding_protein_2_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:12802946-12811798	NM_020397	CAMK1D	unknown	_KRAS_SIGNALING_DN	calcium/calmodulin_dependent_protein_kinase_ID_	0	2	4	4	0	0	0	2	4	0	2	0	2	4	0	0
chr10:128768965-128788867	NM_001380	DOCK1	hsa_circ_0007142	_KRAS_SIGNALING_DN	dedicator_of_cytokinesis_1_	0	4	0	0	0	0	0	4	0	0	4	0	4	0	0	0
chr10:128768965-128798571	NM_001380	DOCK1	hsa_circ_0002669	_KRAS_SIGNALING_DN	dedicator_of_cytokinesis_1_	0	7	0	0	0	0	0	7	0	2	7	2	7	0	2	2
chr10:128806995-128810638	NM_001380	DOCK1	hsa_circ_0020433	_KRAS_SIGNALING_DN	dedicator_of_cytokinesis_1_	0	4	0	0	0	0	0	4	0	0	4	0	4	0	0	0
chr10:128806995-128817099	NM_001380	DOCK1	hsa_circ_0003499	_KRAS_SIGNALING_DN	dedicator_of_cytokinesis_1_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:131400805-131434605	NM_002412	MGMT	unknown	_APOPTOSIS	O-6-methylguanine-DNA_methyltransferase_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:131665404-131676113	NM_001005463	EBF3	unknown	_APOPTOSIS	early_B_cell_factor_3_	0	2	6	6	0	0	0	2	6	0	2	0	2	6	0	0
chr10:131943474-131967754	NM_006541	GLRX3	hsa_circ_0020500	_APOPTOSIS	glutaredoxin_3_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:13214375-13214765	NM_018518	MCM10	hsa_circ_0002109	_APOPTOSIS	minichromosome_maintenance_10_replication_initiation_factor_	0	18	13	13	0	0	0	18	13	0	18	0	18	13	0	0
chr10:13214375-13217681	NM_018518	MCM10	hsa_circ_0000216	_APOPTOSIS	minichromosome_maintenance_10_replication_initiation_factor_	0	6	6	6	0	0	0	6	6	0	6	0	6	6	0	0
chr10:13214375-13222607	NM_018518	MCM10	unknown	_APOPTOSIS	minichromosome_maintenance_10_replication_initiation_factor_	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:13233298-13234568	NM_018518	MCM10	hsa_circ_0004477	_APOPTOSIS	minichromosome_maintenance_10_replication_initiation_factor_	0	6	4	4	0	0	0	6	4	0	6	0	6	4	0	0
chr10:13237040-13239767	NM_018518	MCM10	unknown	_APOPTOSIS	minichromosome_maintenance_10_replication_initiation_factor_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:132915061-132932711	NM_174937	TCERG1L	unknown	_APOPTOSIS	transcription_elongation_regulator_1_like_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:132915061-132944923	NM_174937	TCERG1L	unknown	_APOPTOSIS	transcription_elongation_regulator_1_like_	0	6	0	0	0	0	0	6	0	0	6	0	6	0	0	0
chr10:132932641-132944923	NM_174937	TCERG1L	hsa_circ_0020516	_APOPTOSIS	transcription_elongation_regulator_1_like_	0	5	0	0	0	0	0	5	0	0	5	0	5	0	0	0
chr10:132932641-132965148	NM_174937	TCERG1L	unknown	_APOPTOSIS	transcription_elongation_regulator_1_like_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:133058521-133107562	NM_174937	TCERG1L	unknown	_APOPTOSIS	transcription_elongation_regulator_1_like_	0	8	0	0	0	0	0	8	0	2	8	2	8	0	2	2
chr10:133106473-133107562	NM_174937	TCERG1L	unknown	_APOPTOSIS	transcription_elongation_regulator_1_like_	0	7	0	0	0	0	0	7	0	0	7	0	7	0	0	0
chr10:134459371-134464009	NM_005539	INPP5A	hsa_circ_0020542	_APOPTOSIS	inositol_polyphosphate-5-phosphatase_A_	0	2	3	3	0	0	0	2	3	0	2	0	2	3	0	0
chr10:134503895-134563349	NM_005539	INPP5A	unknown	_APOPTOSIS	inositol_polyphosphate-5-phosphatase_A_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:135211938-135213157	NM_138384	MTG1	hsa_circ_0003966	_APOPTOSIS	mitochondrial_ribosome_associated_GTPase_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:14562975-14572514	NM_031453	FAM107B	unknown	_APOPTOSIS	family_with_sequence_similarity_107_member_B_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:14938844-14939516	NM_001193424	SUV39H2	hsa_circ_0006780	_APOPTOSIS	suppressor_of_variegation_3-9_homolog_2_	0	2	0	0	0	0	0	2	0	3	2	3	2	0	3	3
